Date,Home,Away,Attendance,Venue
2018-07-20,Utah Royals FC,North Carolina Courage,"8,529",America First Field
2018-07-21,Orlando Pride,OL Reign,"5,074",Inter&Co Stadium
2018-07-21,NJ/NY Gotham FC,Portland Thorns FC,"2,338",TBD
2018-07-22,Washington Spirit,Houston Dash,"3,623",Maureen Hendricks Field Maryland SoccerPlex
2018-08-05,North Carolina Courage,Portland Thorns FC,"5,379",WakeMed Soccer Park
2018-08-05,Orlando Pride,NJ/NY Gotham FC,"4,577",Inter&Co Stadium
2018-08-05,Houston Dash,Utah Royals FC,"3,907",Shell Energy Stadium
2018-08-05,OL Reign,Washington Spirit,"3,704",UW Medicine Pitch at Memorial Stadium
2018-08-08,Utah Royals FC,Washington Spirit,"8,154",America First Field
2018-08-10,Chicago Red Stars,North Carolina Courage,"3,567",SeatGeek Stadium
2018-08-11,Utah Royals FC,OL Reign,"8,740",America First Field
2018-08-11,NJ/NY Gotham FC,Houston Dash,"2,126",TBD
2018-08-11,Orlando Pride,Portland Thorns FC,"6,012",Inter&Co Stadium
2018-08-15,OL Reign,Chicago Red Stars,"3,341",UW Medicine Pitch at Memorial Stadium
2018-08-17,Houston Dash,Washington Spirit,"3,007",Shell Energy Stadium
2018-08-18,NJ/NY Gotham FC,Utah Royals FC,"3,468",TBD
2018-08-18,Portland Thorns FC,Chicago Red Stars,"18,631",Providence Park
2018-08-19,North Carolina Courage,Orlando Pride,"7,606",WakeMed Soccer Park
2018-08-21,OL Reign,Houston Dash,"3,193",UW Medicine Pitch at Memorial Stadium
2018-08-22,Washington Spirit,Utah Royals FC,"3,318",Maureen Hendricks Field Maryland SoccerPlex
2018-08-22,Portland Thorns FC,NJ/NY Gotham FC,"17,986",Providence Park
2018-08-25,OL Reign,North Carolina Courage,"4,455",UW Medicine Pitch at Memorial Stadium
2018-08-25,Orlando Pride,Chicago Red Stars,"5,016",Inter&Co Stadium
2018-08-25,Washington Spirit,Portland Thorns FC,"7,976",Audi Field
2018-08-25,Houston Dash,NJ/NY Gotham FC,"4,257",Shell Energy Stadium
2018-09-02,Washington Spirit,NJ/NY Gotham FC,"3,462",Maureen Hendricks Field Maryland SoccerPlex
2018-09-04,Chicago Red Stars,NJ/NY Gotham FC,"2,974",SeatGeek Stadium
2018-09-07,Portland Thorns FC,OL Reign,"21,144",Providence Park
2018-09-08,NJ/NY Gotham FC,Orlando Pride,"4,086",TBD
2018-09-08,Utah Royals FC,Chicago Red Stars,"11,851",America First Field
2018-09-08,North Carolina Courage,Houston Dash,"9,505",WakeMed Soccer Park
2018-09-15,Portland Thorns FC,OL Reign,"14,179",Providence Park
2018-09-18,North Carolina Courage,Chicago Red Stars,"4,646",WakeMed Soccer Park
2018-09-22,North Carolina Courage,Portland Thorns FC,"21,144",WakeMed Soccer Park
2019-04-13,North Carolina Courage,Chicago Red Stars,"4,053",WakeMed Soccer Park
2019-04-13,Washington Spirit,NJ/NY Gotham FC,"2,373",Maureen Hendricks Field Maryland SoccerPlex
2019-04-14,Houston Dash,OL Reign,"4,335",Shell Energy Stadium
2019-04-14,Orlando Pride,Portland Thorns FC,"7,189",Inter&Co Stadium
2019-04-17,North Carolina Courage,Orlando Pride,"4,292",WakeMed Soccer Park
2019-04-20,Utah Royals FC,Washington Spirit,"18,015",America First Field
2019-04-20,NJ/NY Gotham FC,Houston Dash,"1,394",TBD
2019-04-20,Chicago Red Stars,Portland Thorns FC,"12,967",SeatGeek Stadium
2019-04-21,OL Reign,Orlando Pride,"5,323",Cheney Stadium
2019-04-27,Orlando Pride,Utah Royals FC,"4,640",Inter&Co Stadium
2019-04-28,Houston Dash,North Carolina Courage,"2,933",Shell Energy Stadium
2019-04-28,NJ/NY Gotham FC,Portland Thorns FC,"1,321",TBD
2019-04-28,Chicago Red Stars,OL Reign,"2,804",SeatGeek Stadium
2019-05-03,Utah Royals FC,Chicago Red Stars,"16,556",America First Field
2019-05-04,North Carolina Courage,NJ/NY Gotham FC,"5,039",WakeMed Soccer Park
2019-05-04,Washington Spirit,OL Reign,"2,097",Maureen Hendricks Field Maryland SoccerPlex
2019-05-05,Houston Dash,Orlando Pride,"4,173",Shell Energy Stadium
2019-05-11,Orlando Pride,Portland Thorns FC,"4,369",Inter&Co Stadium
2019-05-11,Utah Royals FC,Houston Dash,"10,138",America First Field
2019-05-11,NJ/NY Gotham FC,Washington Spirit,"1,330",TBD
2019-05-12,Chicago Red Stars,North Carolina Courage,"2,113",SeatGeek Stadium
2019-05-18,Washington Spirit,Portland Thorns FC,"3,049",Maureen Hendricks Field Maryland SoccerPlex
2019-05-18,OL Reign,NJ/NY Gotham FC,"3,049",Cheney Stadium
2019-05-19,Houston Dash,Chicago Red Stars,"3,690",Shell Energy Stadium
2019-05-19,North Carolina Courage,Utah Royals FC,"4,821",WakeMed Soccer Park
2019-05-25,Utah Royals FC,Orlando Pride,"7,345",America First Field
2019-05-25,NJ/NY Gotham FC,Portland Thorns FC,"1,472",TBD
2019-05-26,Chicago Red Stars,Washington Spirit,"3,447",SeatGeek Stadium
2019-05-27,OL Reign,North Carolina Courage,"3,032",Cheney Stadium
2019-06-01,Orlando Pride,North Carolina Courage,"4,427",Inter&Co Stadium
2019-06-01,Washington Spirit,Utah Royals FC,"4,575",Maureen Hendricks Field Maryland SoccerPlex
2019-06-02,Portland Thorns FC,Chicago Red Stars,"19,461",Providence Park
2019-06-02,OL Reign,Houston Dash,"3,063",Cheney Stadium
2019-06-15,OL Reign,Washington Spirit,"3,572",Cheney Stadium
2019-06-15,Utah Royals FC,NJ/NY Gotham FC,"5,777",America First Field
2019-06-15,Houston Dash,Orlando Pride,"3,776",Shell Energy Stadium
2019-06-15,North Carolina Courage,Portland Thorns FC,"6,172",WakeMed Soccer Park
2019-06-21,Portland Thorns FC,Utah Royals FC,"15,581",Providence Park
2019-06-22,NJ/NY Gotham FC,Orlando Pride,"1,644",TBD
2019-06-22,Washington Spirit,Houston Dash,"2,367",Maureen Hendricks Field Maryland SoccerPlex
2019-06-23,Chicago Red Stars,OL Reign,"2,023",SeatGeek Stadium
2019-06-28,Utah Royals FC,OL Reign,"6,910",America First Field
